Index,Category,Condition,Paragraphe,Source,Anticholinergics,Charge anticholinergique centrale,Charge anticholinergique périphérique,Torsadogène,Dépresseur_SNC,Médicam inapprop,Hypok,HyperK,Bradycardisant,HypoT_Ortho,Pro_convul,Inducteur_enz,Anticholinergic_Central,Hypoglycemia
Acebutolol [SECTRAL],Contrôle des posologies :,DFG < 25 ml/min :,"Attention ! Avec un DFG inférieur à 25 ml/min, il est recommandé de diminuer la posologie usuelle de 3/4. À prendre en compte.",Réglé,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Acebutolol [SECTRAL],Contrôle des contre-indications et précautions d'emplois :,Patient présentant une bradycardie :,Attention ! Le patient est en bradycardie [indiquer la FC]. Préconiser de revoir la posologie du bêta-bloquant.,Réglé,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Acebutolol [SECTRAL],Contrôle des contre-indications et précautions d'emplois :,Antécédent d’asthme sévère ou de BPCO sévère :,"Attention médicament contre-indiqué en cas d’asthme ou de BPCO sévère. En cas de contre-indication aux bêta-bloquants, le Vérapamil est indiqué dans le post-infarctus et la fibrillation auriculaire sans insuffisance cardiaque. En cas d’HTA, privilégier un Inhibiteur calcique non bradycardisant (Amlodipine ou Lercanidipine). En cas de fibrillation auriculaire symptomatique avec insuffisance cardiaque, privilégier l’amiodarone.",Réglé,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Acebutolol [SECTRAL],Contrôle des contre-indications et précautions d'emplois :,Antécédent de bloc auriculo-ventriculaire du 2ème ou 3ème degré appareillé ou non appareillé :,"Attention médicament contre-indiqué en cas bloc auriculo-ventriculaire du 2ème ou 3ème degré appareillé ou non appareillé. En cas de contre-indication aux bêta-bloquants, le Vérapamil (UNIQUEMENT si le patient dispose d'un pacemaker) est indiqué dans le post-infarctus et la fibrillation auriculaire sans insuffisance cardiaque. En cas d’HTA, privilégier un Inhibiteur calcique non bradycardisant (Amlodipine ou Lercanidipine). En cas de fibrillation auriculaire symptomatique avec insuffisance cardiaque, privilégier l’amiodarone.",Réglé,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Acebutolol [SECTRAL],Contrôle des intéractions médicamenteuses :,Co-prescription antihypertenseur centraux (rilmenidine/moxonidine/clonidine/methyldopa) et antécédant d'insuffisance cardiaque :,"Attention ! Interaction faisant l’objet d’une ASSOCIATION DECONSEILLE [Thésaurus de l’ANSM, oct 2020] pour cause de diminution centrale du tonus sympathique et effet vasodilatateur des antihypertenseurs centraux, préjudiciable en cas d’insuffisance cardiaque traitée par bêta-bloquant et vasodilatateur.",Réglé,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Acebutolol [SECTRAL],Contrôle des intéractions médicamenteuses :,"Co-prescription Diltiazem,  Vérapamil ou Sotalol :","Attention ! L'association des bêta-bloquants avec le [Diltiazem/Vérapamil/Sotalol] fait l'objet d'une association déconseillée pour troubles de l'automatisme (bradycardie excessive, arrêt sinusal), troubles de la conduction sino-auriculaire et auriculo-ventriculaire et défaillance cardiaque. Si cette association est intentionnelle, elle ne doit se faire que sous surveillance clinique et ECG étroite, en particulier chez le sujet âgé, sinon préconiser l'arrêt du [Diltiazem/Vérapamil/Sotalol].",Réglé,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Acebutolol [SECTRAL LP 500 mg],Contrôle des indications :,Antécédent d'angor :,Prophylaxie des crises d'angor d'effort. À poursuivre.,Réglé,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Acebutolol [SECTRAL LP 500 mg],Contrôle des contre-indications et précautions d'emplois :,Patient présentant une bradycardie :,Attention ! Le patient est en bradycardie [indiquer la FC]. Préconiser de revoir la posologie du bêta-bloquant.,Réglé,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Acebutolol [SECTRAL LP 500 mg],Contrôle des contre-indications et précautions d'emplois :,Antécédent d’asthme sévère ou de BPCO sévère :,"Attention médicament contre-indiqué en cas d’asthme ou de BPCO sévère. En cas de contre-indication aux bêta-bloquants, le Vérapamil est indiqué dans le post-infarctus et la fibrillation auriculaire sans insuffisance cardiaque. En cas d’HTA, privilégier un Inhibiteur calcique non bradycardisant (Amlodipine ou Lercanidipine). En cas de fibrillation auriculaire symptomatique avec insuffisance cardiaque, privilégier l’amiodarone.",Réglé,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Acebutolol [SECTRAL LP 500 mg],Contrôle des contre-indications et précautions d'emplois :,Antécédent de bloc auriculo-ventriculaire du 2ème ou 3ème degré appareillé ou non appareillé :,"Attention médicament contre-indiqué en cas bloc auriculo-ventriculaire du 2ème ou 3ème degré appareillé ou non appareillé. En cas de contre-indication aux bêta-bloquants, le Vérapamil (UNIQUEMENT si le patient dispose d'un pacemaker) est indiqué dans le post-infarctus et la fibrillation auriculaire sans insuffisance cardiaque. En cas d’HTA, privilégier un Inhibiteur calcique non bradycardisant (Amlodipine ou Lercanidipine). En cas de fibrillation auriculaire symptomatique avec insuffisance cardiaque, privilégier l’amiodarone.",Réglé,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Acebutolol [SECTRAL LP 500 mg],Contrôle des intéractions médicamenteuses :,Co-prescription antihypertenseur centraux (rilmenidine/moxonidine/clonidine/methyldopa) et antécédant d'insuffisance cardiaque :,"Attention ! Interaction faisant l’objet d’une ASSOCIATION DECONSEILLE [Thésaurus de l’ANSM, oct 2020] pour cause de diminution centrale du tonus sympathique et effet vasodilatateur des antihypertenseurs centraux, préjudiciable en cas d’insuffisance cardiaque traitée par bêta-bloquant et vasodilatateur.",Réglé,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Acebutolol [SECTRAL LP 500 mg],Contrôle des intéractions médicamenteuses :,"Co-prescription Diltiazem,  Vérapamil ou Sotalol :","Attention ! L'association des bêta-bloquants avec le [Diltiazem/Vérapamil/Sotalol] fait l'objet d'une association déconseillée pour troubles de l'automatisme (bradycardie excessive, arrêt sinusal), troubles de la conduction sino-auriculaire et auriculo-ventriculaire et défaillance cardiaque. Si cette association est intentionnelle, elle ne doit se faire que sous surveillance clinique et ECG étroite, en particulier chez le sujet âgé, sinon préconiser l'arrêt du [Diltiazem/Vérapamil/Sotalol].",Réglé,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Agomelatine [VALDOXAN],0,Antécédent d'épisode dépressif majeur :,"L'efficacité et la sécurité d'emploi de l'agomélatine (25 à 50 mg/jour) n'ont pas été établies chez les patients de plus de 75 ans. Par conséquent, l'agomélatine ne doit pas être utilisée chez les patients de cette tranche d'âge. Médicament à risque d'atteinte hépatique pouvant se compliquer d'insuffisance hépatique. Rapport bénéfice-risque faible (avis de la Commission de la Transparence, HAS, octobre 2015). Préconiser l'arrêt  de ce traitement en privilégiant la Sertraline ou la Miansérine.",Réglé,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Alendronate [FOSAMAX],Contrôle des indications :,Antécédent d'ostéoporose :,Prise en charge de l’ostéoporose. A reprendre.,Réglé,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alendronate [FOSAMAX],Contrôle des posologies :,Aucune mention sur l'ordonnance d'une prise le matin 30 min avant le petit-déjeuner :,"La prise alimentaire inhibant le processus d'absorption des biphosphonates, préconiser la mention ""à prendre 30 minutes avant le petit déjeuner, dans un grand verre d'eau peu minéralisé (eau du robinet)"".",Réglé,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alendronate [FOSAMAX],Contrôle des posologies :,Prescription de FOSAMAX 70 mg sans mention sur l'ordonnance du jour de la semaine de la prise : ,"Pour une meilleure observance, préconiser la mention du jour de la semaine sur l'ordonnance (ex: Tous les lundis ).",Réglé,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alendronate [FOSAMAX],Contrôle des posologies :,Prescription de FOSAMAX 70 mg tous les jours : ,"Attention ! La posologie une fois par jour correspond à la posologie du FOSAMAX 10 mg. Dans la prise en charge de l'ostéoporose, la posologie du FOSAMAX 70 mg est d'un jour par semaine en précisant, si possible, sur l'ordonnance le jour de la semaine de la prise (ex: Tous les lundis).",Réglé,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alendronate [FOSAMAX],Contrôle des posologies :,Prescription de FOSAMAX 10 mg un jour par semaine : ,"Attention ! La posologie une fois par semaine correspond à la posologie du FOSAMAX 70 mg. Dans la prise en charge de l'ostéoporose, la posologie du FOSAMAX 10 mg est d'une prise par jour.",Réglé,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alendronate [FOSAMAX],Contrôle des intéractions médicamenteuses :,"Co-prescription fer, calcium ou anti-acide au même moment de la journée :","Attention la co-prescription de [fer/calcium/anti-acide] au même moment de la journée est à risque de diminution de l'absorption digestive des bisphosphonates. Préconiser une prescription à un autre moment de la journée ou préciser sur l'ordonnance ""À prendre minimum 2h avant la prise du [Fer/Calcium/Anti-acide]"".",Réglé,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alfuzosine [XATRAL],Contrôle des indications :,Antécédent d'Hypertrophie Bénigne de la Prostate :,Prise en charge de l’hypertrophie bénigne de la prostate. Médicament majorant le risque d’hypotension orthostatique avec risque de chutes en particulier chez les personnes sujettes à des hypotensions orthostatiques et/ou traitées par des antihypertenseurs. A prendre en compte. Privilégier des inhibiteurs sélectifs du récepteur alpha 1A telles que la Tamsulosine et la Silodosine.,Réglé,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Alfuzosine [XATRAL],Contrôle des indications :,Prescription chez une femme :,Prise en charge d'un trouble mictionnelle. Médicament majorant le risque d’hypotension orthostatique avec risque de chutes en particulier chez les personnes sujettes à des hypotensions orthostatiques et/ou traitées par des antihypertenseurs. A prendre en compte. Privilégier des inhibiteurs sélectifs du récepteur alpha 1A telles que la Tamsulosine et la Silodosine.,Réglé,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Alfuzosine [XATRAL],Contrôle des posologies :,Prescription le matin :,"Privilégier une prescription de l'alpha-bloquant au soir afin de minimiser le risque d'hypotension orthostatique et, par conséquent, de chute. ",Réglé,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Alfuzosine [XATRAL],Contrôle des contre-indications et précautions d'emplois :,DFG < 30 ml/min :,Attention ! Médicament contre-indiqué chez le patient insuffisant rénal sévère. Préconiser un arrêt de ce traitement.,Réglé,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Alfuzosine [XATRAL],Contrôle des contre-indications et précautions d'emplois :,Antécédent d'hypotension orthostatique (Co-prescription GUTRON ou FLUCORTAC) :,"Attention ! Médicament contre-indiqué en cas d'antécédent d'hypotension orthostatique (Risque élevé de chute chez la personne âgée). Préconiser l'arrêt du traitement et privilégier, si un traitement pharmacologique est nécessaire, la silodosine qui n'est pas contre-indiqué ou un inhibiteur de la 5-alpha réductase (ex : Finsatéride) avec surveillance d'apparition de cas d'anxiété et/ou de dépression sous ce traitement.",Réglé,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Alfuzosine [XATRAL],Contrôle des intéractions médicamenteuses :,Si co-prescription urapidil :,"L’utilisation concomitante de l’urapidil et du alfusozine fait l’objet d’une association déconseillée (Thésaurus de l’ANSM, 2020) à cause d’une majoration de l'effet hypotenseur à risque d’hypotension orthostatique sévère.",Réglé,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Alfuzosine [XATRAL],Contrôle des intéractions médicamenteuses :,Co-prescription inhibiteur puissants du CYP 3A4 :,"Attention ! L'association de l'alfusozine et du [inserer le médicament], inhibiteur puissant du CYP 3A4, fait l'objet d'une interaction médicamenteuse de type : ASSOCIATION DÉCONSEILLÉE pour risque d’augmentation des concentrations plasmatiques de l’alfuzosine et de ses effets indésirables. Réévaluer la balance bénéfice-risque chez sujet âgé.",Réglé,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Alginate de Sodium / Bicarbonate de Sodium [GAVISCON],Contrôle des indications :,Antécédent de RGO ou brûlure gastrique :,"Prise en charge symptomatique du reflux gastro-œsophagien ou des brûlures gastriques. Le GAVISCON est un traitement de crise. Préconiser de mentionner ""à prendre à distance des autres médicaments"" sur l'ordonnance. À reprendre si besoin.",Réglé,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alginate de Sodium / Bicarbonate de Sodium [GAVISCON],Contrôle des posologies :,"SANS la mention ""si besoin"" :","Prise en charge symptomatique du reflux gastro-œsophagien ou des brûlures gastriques. Le GAVISCON est un traitement de crise. Préconiser de mentionner ""si besoin"" et ""à prendre à distance des autres médicaments"" sur l'ordonnance. ",Réglé,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alginate de Sodium / Bicarbonate de Sodium [GAVISCON],Contrôle des posologies :,"Avec co-Prescription d'un IPP et SANS la mention ""si besoin"" : ","Prise en charge symptomatique du reflux gastro-œsophagien ou des brûlures gastriques. Le GAVISCON est un traitement de crise (contrairement aux IPP). Préconiser de mentionner ""si besoin"" et ""à prendre à distance des autres médicaments"" sur l'ordonnance. ",Réglé,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allopurinol [ZYLORIC],Contrôle des indications :,Antécédent d'hyperuricémie symptomatique :,"Traitement de l'hyperuricémie symptomatique. Uricémie cible est en dessous de 360 µmol/l, voire 300 µmol/l. A reprendre.",(À TRAITER),0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allopurinol [ZYLORIC],Contrôle des posologies :,80 < DFG < 100 ml/min et dose > 300 mg/j :,"Avec un DFG de … ml/min, privilégier la dose maximum préconisée qui est de 300 mg/jour.",Réglé,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allopurinol [ZYLORIC],Contrôle des posologies :,40 < DFG < 80 ml/minet dose > 200 mg/j :,"Avec un DFG de … ml/min, privilégier la dose maximum préconisée qui est de 200 mg/jour.",Réglé,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allopurinol [ZYLORIC],Contrôle des posologies :,20 < DFG 40 ml/minet dose > 100 mg/j :,"Avec un DFG de … ml/min, privilégier la dose maximum préconisée qui est de 100 mg/jour.",Réglé,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allopurinol [ZYLORIC],Contrôle des posologies :,DFG < 20 ml/minet dose > 100 mg tous les 2 jours :,"Avec un DFG de … ml/min, privilégier la dose maximum préconisée qui est de 100 mg tous les 2 jours.",Réglé,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allopurinol [ZYLORIC],Contrôle des intéractions médicamenteuses :,Co-prescription azathioprine :,"Attention ! L'association entre l'azathioprine et l'allopurinol fait l'objet d'une association contre-indiqué [Thésaurus de l'ANSM, 2020]. La xanthine  oxydase constitue l'une   des voies d'éliminations de la mercaptopurine (= substance active de l'azathioprine). Son inhibition mène, alors, au surdosage plasmatique de la mercaptopurine  et ainsi une augmentation de sa toxicité hématologique et hépatique. Préconiser l'arrêt [de l'allopurinol/du febuxostat].",Réglé,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Alimemazine [THERALENE],Contrôle des indications :,Antécédent d'insomnie :,"Prise en charge de l’insomnie occasionnelle ou transitoire. Médicament anticholinergique, antidopaminergique, antiadrénergique et antihistaminique centrale déconseillée chez les sujets âgés qui, du fait d'une plus grande sensibilité, présentent un risque accru d'hypotension orthostatique, de vertiges, de sédation, de confusion, d'effets extrapyramidaux avec troubles de la marche, le tout majorant le risque de chute. Privilégier les Z-drugs  (zolpidem ou zopiclone). ",(À TRAITER),1,1,1,1,1,1,0,0,0,1,1,0,1,0
Alimemazine [THERALENE],Contrôle des contre-indications et précautions d'emplois :,"Antécédent d'hypertrophie bénigne de la prostate (co-prescription d'alfusozine, tamsulosine, permixon, tadenan, finastéride, dutastéride ou combodart) :","Médicament anticholinergique contre-indiqué chez ce patient atteint d’une hypertrophie bénigne de la prostate. Préconiser l’arrêt de l’alimemazine. Si un traitement pharmacologique est nécessaire, privilégier un traitement par zopiclone ou zolpidem à posologie minimale efficace pendant maximum 4 semaines.",(À TRAITER),1,1,1,1,1,1,0,0,0,1,1,0,1,0
Alimemazine [THERALENE],Contrôle des contre-indications et précautions d'emplois :,Antécédent de glaucome à angle fermé :,"Médicament anticholinergique contre-indiqué chez ce patient présentant un antécédent de glaucome à angle fermé. Préconiser l’arrêt de l’alimemazine. Si un traitement pharmacologique est nécessaire, privilégier un traitement par zopiclone ou zolpidem à posologie minimale efficace pendant maximum 4 semaines.",(À TRAITER),1,1,1,1,1,1,0,0,0,1,1,0,1,0
Alimemazine [THERALENE],Contrôle des contre-indications et précautions d'emplois :,Patient admis aux urgences pour globe vésical :,"Médicament anticholinergique contre-indiqué chez ce patient admis aux urgencess pour globe vésical. Préconiser l’arrêt de l’alimemazine. Si un traitement pharmacologique est nécessaire, privilégier un traitement par zopiclone ou zolpidem à posologie minimale efficace pendant maximum 4 semaines.",(À TRAITER),1,1,1,1,1,1,0,0,0,1,1,0,1,0
Alimemazine [THERALENE],Contrôle des contre-indications et précautions d'emplois :,Antécédent d'épilepsie :,Attention ! Médicament abaissant le seuil épileptogène. Réévaluer la balance bénéfice/risque en cas d'apparition ou d'augmentation des crises épileptiques malgré le traitement de fond. ,(À TRAITER),1,1,1,1,1,1,0,0,0,1,1,0,1,0
Alimemazine [THERALENE],Contrôle des contre-indications et précautions d'emplois :,"PNN < 0,5 g/L ou antécédent d'agranulocytose :","Attention ! Il est documenté que les phénothiazines sont responsables d'agranulocytose. Préconiser l'arrêt de la phénothiazine. Si un traitement pharmacologique est nécessaire, privilégier un traitement par zopiclone ou zolpidem à posologie minimale efficace pendant maximum 4 semaines. ",Réglé,1,1,1,1,1,1,0,0,0,1,1,0,1,0
Alimemazine [THERALENE],Contrôle des contre-indications et précautions d'emplois :,Antécédent de maladie de Parkinson :,"Attention ! Ce médicament antidopaminergique centrale est contre-indiqué chez les patients Parkinsionien du fait d'un risque d'inefficacité  médicamenteuse du traitement dopaminergique et d'aggravation des symptômes. Privilégier, en l'absence de contre-indication, un traitement par Dompéridone.",Réglé,1,1,1,1,1,1,0,0,0,1,1,0,1,0
Alimemazine [THERALENE],Contrôle des intéractions médicamenteuses :,Co-prescription médicaments anticholinergiques (voir listes des anticholinergiques) :,"Attention ! La co-prescription du [Inserer le nom du médicament], autre médicament anticholinergique, expose à une   addition des effets atropiniques périphériques (constipation, rétention urinaire, trouble de l’accommodation  , tachycardie) et centraux (troubles confusionnels). À proscrire chez la personne âgée. Réévaluer la balance bénéfice-risque et préconiser l'arrêt d'un de ces 2 médicaments.",(À TRAITER),1,1,1,1,1,1,0,0,0,1,1,0,1,0
Alimemazine [THERALENE],Contrôle des intéractions médicamenteuses :,Co-prescription anticholinestérasiques :,Attention ! La co-prescription d'un anticholinestérasique [Indiquer lequel] avec ce médicament anticholinergique expose à un risque de diminution de l'efficacité de l'anticholinestérasique par antagonisme des récepteurs de l'acétylcholine par l'action anticholinergique de l'alimemazine. À réévaluer.,(À TRAITER),1,1,1,1,1,1,0,0,0,1,1,0,1,0
Alimemazine [THERALENE],Contrôle des intéractions médicamenteuses :,Co-prescription dopaminergique  :,Antagonisme réciproque du dopaminergique et des neuroleptiques au niveau du SNC. Le dopaminergique peut provoquer ou aggraver les troubles psychotiques et le neuroleptique peut aggraver les symptômes parkinsoniens. Réévaluer la balance bénéfice-risque.,(À TRAITER),1,1,1,1,1,1,0,0,0,1,1,0,1,0
Alimemazine [THERALENE],Contrôle des intéractions médicamenteuses :,"Co-prescription neuroleptique caché (métoclopramide,métopimazine, alimémazine, oxomemazine, prométhazine, flunarizine, buspirone, amoxapine) :",Attention ! La co-prescription de plusieurs antidopaminergiques est sujet à l'augmentation du risque de syndrome malin des neuroleptiques (rare mais très grave). À prendre en compte. ,(À TRAITER),1,1,1,1,1,1,0,0,0,1,1,0,1,0
Alprazolam [XANAX],Contrôle des indications :,Prise uniquement au coucher :,"Prise en charge de l’insomnie. Médicament à l’origine de troubles cognitifs, confusionnels et de chutes (Effet myorelaxant + altération de l'équilibre). Rappel : Le traitement médicamenteux de l’insomnie doit être de courte durée (comprenant la phase d’arrêt progressif) afin d’éviter un risque d’abus et de dépendance, ainsi qu’à la tolérance pharmacologique qui augmente avec la durée du traitement.",Réglé,0,1,1,0,1,0,0,0,0,0,0,0,0,0
