Index,Condition,Paragraphe,Charge anticholinergique centrale,Charge anticholinergique périphérique,Torsadogène,Dépresseur_SNC,Médicam inapprop,Hypok,HyperK,Bradycardisant,HypoT_Ortho,Pro_convul
Amiodarone [CORDARONE],Antécédent de FA (Fibrillation Auriculaire),Traitement et prévention des récidives de fibrillation auriculaire paroxystique; persistante ou permanente symptomatique. Attention médicament photosensibilisant. Surveillance TSH et ASAT/ALAT.,0,0,1,0,0,0,0,1,0,0
Amiodarone [CORDARONE],Antécédent de troubles du rythme ventriculaire.,Traitement et prévention des récidives de troubles du rythme ventriculaire documentés; symptomatiques et invalidantes. Attention médicament photosensibilisant. Surveillance TSH et ASAT/ALAT.,0,0,1,0,0,0,0,1,0,0
Amiodarone [CORDARONE],A rajouter si co-prescription de : (Es)citalopram; Hydroxyzine; Dompéridone ; Sulpiride ; Haloperidol ; ,Attention médicament torsadogène [contre-indiqué avec le [Citalopram; Escitalopram; Dompéridone; Hydroxyzine][déconseillé avec le [sulpiride/haloperidol/donepezil]] à cause du risque d’allongement du QT menant à une torsade de pointe.,0,0,1,0,0,0,0,1,0,0
Amiodarone [CORDARONE],A rajouter si co-prescription de : Dabigatran,Attention; précaution d’emploi entre l’amiodarone et le dabigatran. Les activités inhibitrices du CYP 3A4 et des P-gP de l’amiodarone augmentent les concentrations plasmatiques du dabigatran; avec majoration du risque de saignement.,0,0,1,0,0,0,0,1,0,0
Amisulpride,(À TRAITER),(À TRAITER),0,0,0,1,0,0,0,0,1,0
Amlodipine [AMLOR],Antécédent d’HTA,Prise en charge de l’HTA. Rappel objectif tensionnel : 140/90 mmHg voire 150/90 mmHg pour perfusion cérébrale. A reprendre.,0,0,0,0,0,0,0,0,0,0
Amlodipine [AMLOR],Antécédent d’angor (=co-prescription trinitrine et béta-bloquant),Prise en charge symptomatique de l’angor. A reprendre.,0,0,0,0,0,0,0,0,0,0
Amoxapine,(À TRAITER),(À TRAITER),3,3,0,0,1,0,0,0,1,1
Amoxapine,A rajouter si patient épileptique :,Attention ! Médicament abaissant le seuil épileptogène. Réévaluer la balance bénéfice/risque en cas d'apparition ou d'augmentation des crises épileptiques malgré le traitement de fond. ,3,3,0,0,1,0,0,0,1,1
Amitriptyline [LAROXYL],Aucun antécédent retrouvé dans le dossier médical.,Traitement de 2nd intention dans les épisodes dépressifs majeurs caractérisés (selon le DSM-V) ou prise en charge de douleurs neuropathiques. Pas d’antécédent dans le dossier médical. Médicament anticholinergique (avec effets périphériques et centraux); cardiotoxique (effet stabilisant de membrane); sédatif (antagoniste H1 central) et à risque d’hypotension orthostatique (activité alpha1 bloquante) et par conséquent; de chutes. Revoir l’indication et la balance bénéfice-risque.,3,3,0,1,1,0,0,0,1,1
Amitriptyline [LAROXYL],A rajouter si patient épileptique :,Attention ! Médicament abaissant le seuil épileptogène. Réévaluer la balance bénéfice/risque en cas d'apparition ou d'augmentation des crises épileptiques malgré le traitement de fond. ,3,3,0,1,1,0,0,0,1,1
Amitriptyline [LAROXYL],A rajouter si co-prescription de tramadol/lithium/millepertuis,Attention; le risque de syndrome sérotoninergique (rare mais grave) est majoré avec le [tramadol/lithium/millepertuis]. Préconiser l’arrêt du [tramadol/millepertuis].,3,3,0,1,1,0,0,0,1,1
Amitriptyline [LAROXYL],A rajouter si le patient est atteint d’une hypertrophie bénigne de la prostate (traité par alfusozine; tamsulosine; permixon; tadenan; finastéride; dutastéride ou combodart ); ou présentant un antécédent de glaucome à angle fermé ou qui est admis aux urgences pour globe vésical,Médicament anticholinergique contre-indiqué chez ce patient [atteint d’une hypertrophie bénigne de la prostate/ présentant un antécédent de glaucome à angle fermé/ admis aux urgences pour globe vésical]. Préconiser l’arrêt de l’amytriptiline. Privilégier un ISRS; IRSNa ou la miansérine/mirtazapine si indication dépression. Prégabaline si indication douleurs neuropathiques.,3,3,0,1,1,0,0,0,1,1
Anti-inflammatoires non steroïdiens locaux [IBUFETUM; KETUM; FLECTOR].,,Attention aux AINS locaux chez la personne âgée; possible passage cutané plus important (peau plus fine). Surveillance créatinine.,0,0,0,0,0,0,1,0,0,0
Apixaban [ELIQUIS],Prévention AVC si FA; poso adaptée,Prévention du risque cérébrovasculaire suite au diagnostic d’une fibrillation auriculaire. Posologie adaptée. A reprendre.,0,0,0,0,0,0,0,0,0,0
Apixaban [ELIQUIS],Prévention AVC si FA; poso non adaptée,Attention; cette posologie n’est pas recommandée en cas de fibrillation auriculaire. Chez le patient présentant au moins 2 des caractéristiques suivantes : âge supérieur à 80ans; poids inférieur à  60 kg; créatinine supérieure à 133µmol/L; la posologie est de 2;5 mg; 2 fois par jour.,0,0,0,0,0,0,0,0,0,0
Apixaban [ELIQUIS],Prévention TVP et EP; poso adaptée,Prévention des récidives des évènements thromboemboliques sous forme de TVP ou d’EP. A reprendre.,0,0,0,0,0,0,0,0,0,0
Apixaban [ELIQUIS],Prévention TVP et EP; poso non adaptée,Attention; cette posologie n’est pas recommandée dans la prévention des récidives des évènements thromboemboliques sous forme de TVP ou d’EP. [Expliquer pourquoi – 2.5mg x2/jour peut être continuée à vie],0,0,0,0,0,0,0,0,0,0
Apixaban [ELIQUIS],Rappel des interactions médicamenteuses,Association déconseillée avec l’apixaban : AINS; Inducteurs enzymatiques anticonvulsivants; rifampicine; fluconazole et Inhibiteur puissant du 3A4 (voir liste thésaurus ANSM),0,0,0,0,0,0,0,0,0,0
Apomorphine [APOKINON],Antécédent de Parkinson (ADARTEL),Prise en charge de la maladie de Parkinson. Attention; médicament à l’origine d’endormissement brusque et d’hypotension orthostatique; et par conséquent; de chute. A prendre en compte. A poursuivre.,0,0,0,0,0,0,0,0,1,0
Aripiprazole [ABILIFY],AVEC Antécédent de schizophrénie ou trouble bipolaire.,Prise en charge de la schizophrénie ou des épisodes maniaques du trouble bipolaire. Médicament sujet à l’hypotension orthostatique et; par conséquent; de chute (Vigilance). A poursuivre.,0,0,0,1,0,0,0,0,1,1
Aripiprazole [ABILIFY],SANS Antécédent de schizophrénie ou trouble bipolaire. AVEC ou SANS Antécédent de troubles cognitifs.,Pas d’antécédent de schizophrénie ou trouble bipolaire dans le dossier médical. Rappel : les antipsychotiques exposent à un risque accru d’AVC; d’hypotension orthostatique et syndrome extrapyramidal avec risque de chute et sont responsable d’un taux plus élevé de déclin cognitif et de mortalité chez les sujets atteints de démence. A éviter pour les problèmes comportementaux de la démence ou du délire; sauf lorsqu'il existe un risque de préjudice pour le patient lui-même ou son entourage. ,0,0,0,1,0,0,0,0,1,1
Aspirine faible dose [KARDEGIC; RESITUNE; ASPIRINE PROTECT],Antécédent de cardiopathie ischémique (SCA ST+ (=Infarctus du myocarde) ou ST-(=Angor instable); SCC (=Angor stable); AIT; AVC ischémique; AOMI),Prévention; secondaire à une pathologie artérielle ischémique confirmée [indiquer laquelle + si possible la date]; des complications cardiovasculaires et/ou cérébrovasculaires liées à l'athérosclérose. A reprendre.,0,0,0,0,0,0,0,0,0,0
Aspirine faible dose [KARDEGIC; RESITUNE; ASPIRINE PROTECT],A rajouter si co-prescription Nicorandil,Attention : Association déconseillée entre le nicorandil et le [Kardegic/Resitune/Aspirine faible dose] à cause d’une majoration du risque ulcérogène et hémorragique digestif (Thésaurus de l’ANSM 2020). Préconiser l’arrêt du traitement par nicorandil en privilégiant la trinitrine en patch à libération prolongée.,0,0,0,0,0,0,0,0,0,0
Aspirine faible dose [KARDEGIC; RESITUNE; ASPIRINE PROTECT],En association avec le clopidogrel ou autre AAP après plus de 12 mois.,Revoir la balance bénéfice-risque du maintien d’une bithérapie antiagrégant plaquettaire [X mois/années] après [le SCA et/ou la pose d’un stent].,0,0,0,0,0,0,0,0,0,0
Aspirine faible dose + Clopidogrel [DUOPLAVIN],Après plus de 12 mois le SCA et/ou la pose d’un stent.,Revoir la balance bénéfice-risque du maintien d’une bithérapie antiagrégant plaquettaire [X mois/années] après [le SCA et/ou la pose d’un stent].,0,0,0,0,0,0,0,0,0,0
Atenolol,(À TRAITER),(À TRAITER),1,1,0,0,0,0,0,1,0,0
Atorvastatine [TAHOR],Prévention primaire (dyslipidémie) chez les plus de 80 ans.,Absence de preuve formelle de l’efficacité des statines sur la réduction de la mortalité toutes causes chez les sujets âgés de plus de  80 ans à faible risque cardiovasculaire en prévention primaire. Effets indésirables musculo‐squelettiques (myalgies; myopathies; rhabdomyolyse); risque de diabète et d’atteintes hépatiques. Privilégier l’abstention thérapeutique.,0,0,0,0,0,0,0,0,0,0
Atorvastatine [TAHOR],Antécédent de cardiopathie ischémique (SCA ST+ (=Infarctus du myocarde) ou ST-(=Angor instable); SCC (=Angor stable); AIT; AVC ischémique; AOMI),Prévention; secondaire à une pathologie artérielle ischémique confirmée [indiquer laquelle + si possible la date]; des complications cardiovasculaires et/ou cérébrovasculaires liées à l'athérosclérose. A reprendre.,0,0,0,0,0,0,0,0,0,0
Atorvastatine [TAHOR],En association avec Diltiazem ou Vérapamil,Attention; risque majoré d'effets indésirables (concentration-dépendants) à type de rhabdomyolyse et dénutrition; par diminution du métabolisme hépatique de l'hypocholestérolémiant par le [Diltiazem/Vérapamil] (inhibition du CYP 3A4). Revoir la balance bénéfice risque chez le patient MUPA d’un traitement par statine; privilégier une autre statine non concernée par ce type d’interaction (ex : Rosuvastatine).,0,0,0,0,0,0,0,0,0,0
Atrovent [Ipratropium],Posologie : « dès les premiers symptômes; inhaler 1 à 2 bouffées à renouveler quelques minutes plus tard si besoin »,Traitement symptomatique de la crise d’asthme ou des exarcerbations au cours de la maladie asthmatique ou de la BPCO; en complément d'un bêta-2 mimétique d'action rapide et de courte durée par voie inhalée. A reprendre.,0,0,0,0,0,0,0,0,0,0
Atrovent [Ipratropium],Posologie : « 1 à 2 bouffées 2 à 4 fois par jour réparties régulièrement dans la journée. »,Traitement symptomatique continu du bronchospasme réversible au cours de la bronchopneumopathie chronique obstructive. A reprendre.,0,0,0,0,0,0,0,0,0,0
Azathioprine,(À TRAITER),(À TRAITER),0,1,0,0,0,0,0,0,0,0
Baclofene,(À TRAITER),(À TRAITER),0,2,0,1,0,0,0,0,1,0
Betahistine,Par défaut :,Traitement symptomatique du vertige itératif avec ou sans signe cochléaire. A reprendre si besoin.,0,0,0,0,0,0,0,0,0,0
Betamethasone [DIPROSONE],Par défaut :,Corticothérapie locale dans le traitement des dermatites. A reprendre si besoin.,0,0,0,0,0,0,0,0,0,0
Bezafibrate,Antécédent de cardiopathie ischémique (SCA ST+ (=Infarctus du myocarde) ou ST-(=Angor instable); SCC (=Angor stable); AIT; AVC ischémique; AOMI),Prévention; secondaire à une pathologie artérielle ischémique confirmée [indiquer laquelle + si possible la date]; des complications cardiovasculaires et/ou cérébrovasculaires liées à l'athérosclérose en cas d’intolérance ou de contre-indication aux statines. Reconfirmer ce cas d’intolérance ou de contre-indication. En effet; à l’exception du Gemfibrozil; aucun fibrate n’a démontré une réduction de la morbimortalité dans la prévention secondaire des cardiopathies ischémiques.,0,0,0,0,0,0,0,0,0,0
Bezafibrate,Co-prescription Statine,Attention; la co-prescription d’une statine et d’un fibrate est au minimum à DECONSEILLER (Thésaurus de l’ANSM; 2020); et ce d’autant plus chez le patient MUPA; à cause du risque d'addition d'effets indésirables (dose-dépendants) à type de rhabdomyolyse et de dénutrition. En cas de prévention secondaire du risque cardiovasculaire; privilégier uniquement la statine; sinon uniquement le fibrate.,0,0,0,0,0,0,0,0,0,0
Bezafibrate,Antécédent d’hypertriglycéridémie,Prise en charge de l’hypertriglycéridémie. A reprendre.,0,0,0,0,0,0,0,0,0,0
Biperidène [AKINETON],Antécédent de maladie de Parkinson,Prise en charge de la maladie de Parkinson. Les anticholinergiques antiparkinsoniens sont moins utilisés dans le traitement de la maladie de Parkinson en raison d’un rapport bénéfice/risque faible : effets anticholinergiques périphériques (constipation; rétention urinaire; trouble de l’accomodation; tachycardie) et centraux (troubles confusionnelles). Privilégier le traitement de 1ère intention chez le sujet de plus de 65 ans : La L-DOPA.,0,0,0,0,1,0,0,0,0,0
Biperidène [AKINETON],Co-prescription neuroleptique,Anticholinergique antiparkinsonien indiqué dans le syndrome pseudo-parkinsonien induit par les neuroleptiques. Médicament pourvoyeur d’effets anticholinergiques périphériques (constipation; rétention urinaire; trouble de l’accommodation; tachycardie) et centraux (troubles confusionnelles). A éviter chez la personne âgée.,0,0,0,0,1,0,0,0,0,0
Biperidène [AKINETON],A rajouter si le patient est atteint d’une hypertrophie bénigne de la prostate (traité par alfusozine; tamsulosine; permixon; tadenan; finastéride; dutastéride ou combodart ); ou présentant un antécédent de glaucome à angle fermé ou qui est admis aux urgences pour globe vésical,Médicament anticholinergique contre-indiqué chez ce patient [atteint d’une hypertrophie bénigne de la prostate/ présentant un antécédent de glaucome à angle fermé/ admis aux urgences pour globe vésical]. Préconiser l’arrêt de l’amytriptiline. Privilégier un ISRS; IRSNa ou la miansérine/mirtazapine si indication dépression. Prégabaline si indication douleurs neuropathiques.,0,0,0,0,1,0,0,0,0,0
Bisoprolol [CARDENSIEL],Antécédent d’HTA,Prise en charge de l’HTA. Rappel objectif tensionnel : 140/90 mmHg voire 150/90 mmHg pour perfusion cérébrale. A reprendre.,0,0,0,0,0,0,0,1,0,0
Bisoprolol [CARDENSIEL],Antécédent d’IDM,Traitement médicamenteux post-infarctus (Protocole BASIC) quelle que soit la pression artérielle et la fonction ventriculaire gauche.  A reprendre.,0,0,0,0,0,0,0,1,0,0
Bisoprolol [CARDENSIEL],Antécédent d’insuffisance cardiaque + stratégie thérapeutique complète,Prise en charge de l’insuffisance cardiaque [Si possible indiqué le % de FEVG ou la classe NYHA)]. A reprendre.,0,0,0,0,0,0,0,1,0,0
Bisoprolol [CARDENSIEL],Antécédent d’insuffisance cardiaque + stratégie thérapeutique incomplète,Prise en charge de l’insuffisance cardiaque [Si possible indiqué le % de FEVG ou la classe NYHA)]. Attention; stratégie thérapeutique incomplète. Pour réduire le risque d’hospitalisation et de décès; préconiser l’instauration d’un IEC (ARA II si DFG < 30ml/min); d’un antagoniste aux minéralocorticoïdes (Spironolactone ou Eplérenone) et d’un inhibiteur de SGLT2 (Dapagliflozine ou Empagliflozine) [ECS Heart failures Guidelines 2021].,0,0,0,0,0,0,0,1,0,0
Bisoprolol [CARDENSIEL],A rajouter si antécédent d’asthme ou de BPCO sévère,Attention médicament contre-indiqué en cas d’asthme ou de BPCO sévère. En cas de contre-indication aux béta-bloquants; le Vérapamil est indiqué dans le post-infarctus et la fibrillation auriculaire sans insuffisance cardiaque. En cas d’HTA; privilégier un Inhibiteur calcique non bradycardisant (Amlodipine ou Lercanidipine). En cas de fibrillation auriculaire symptomatique avec insuffisance cardiaque; privilégier l’amiodarone.,0,0,0,0,0,0,0,1,0,0
Bisoprolol [CARDENSIEL],Co-prescription antihypertenseur centraux (rilmenidine/moxonidine/clonidine/methyldopa),Attention ! Interaction faisant l’objet d’une ASSOCIATION DECONSEILLE [Thésaurus de l’ANSM; oct 2020] pour cause de diminution centrale du tonus sympathique et effet vasodilatateur des antihypertenseurs centraux; préjudiciable en cas d’insuffisance cardiaque traitée par bêta-bloquant et vasodilatateur.,0,0,0,0,0,0,0,1,0,0
Bromazepam [LEXOMIL],Prise uniquement au coucher,Prise en charge de l’insomnie. Médicament à l’origine de troubles confusionnels et de chutes. Privilégier des benzodiazépines à demi-vie courte (ex : OXAZEPAM) à posologie minimale efficace.  Rappel : Le traitement médicamenteux de l’insomnie doit être de courte durée (comprenant la phase d’arrêt progressif) afin d’éviter un risque d’abus et de dépendance qui augmente avec la durée du traitement.,0,0,0,1,1,0,0,0,0,0
Bromazepam [LEXOMIL],Prise dans la journée sans antécédent d’anxiété,Prise en charge des manifestations anxieuses sévères et/ou invalidantes. Pas d’ATCD dans le dossier médical. Médicament à l’origine de troubles confusionnels et de chute. Privilégier des BZD à demi-vie courte chez la personne âgée (ex : OXAZEPAM). Attention au risque d’abus et de dépendance; ainsi qu’à la tolérance pharmacologique qui nécessite d’augmenter toujours plus les doses afin de retrouver un effet anxiolytique. Prescription max : 3 mois incluant la réduction progressive.,0,0,0,1,1,0,0,0,0,0
Bromazepam [LEXOMIL],Prises réparties dans la journée et antécédent de troubles cognitifs :,Prise en charge symptomatique des manifestations anxieuses sévères et/ou invalidantes. Patient aux antécédents de troubles cognitifs : Risque d’aggravation des troubles cognitifs et/ou apparition d’un syndrome confusionnel par la benzodiazépine avec risque de chutes. Préconiser un arrêt progressif en privilégiant; en cas de nécessité d’une approche pharmacologique; pour une anxiété chronique (évoluant depuis au moins 6 mois) : un traitement de fond par antidépresseurs (Sertraline ou Miansérine).,0,0,0,1,1,0,0,0,0,0
Bromazepam [LEXOMIL],A rajouter pour patient admis aux urgences pour insuffisance respiratoire.,Attention ! Médicament aggravant l’insuffisance respiratoire.,0,0,0,1,1,0,0,0,0,0
Bromazepam [LEXOMIL],ATCD de sevrage alcoolique,Prévention et traitement du delirium tremens et des autres manifestations du sevrage alcoolique. Privilégier des benzodiazépines à demi-vie courte chez la personne âgée (ex : Alprazolam).,0,0,0,1,1,0,0,0,0,0
Bromazepam [LEXOMIL],A rajouter si Utilisation concomitante d’une autre benzodiazépine (anxio ou hypno) au même moment de la journée,Potentialisation des effets indésirables (troubles cognitifs;  syndrome confusionnel; troubles de la vigilance; chutes) sans augmentation de l’efficacité.,0,0,0,1,1,0,0,0,0,0
Bromocriptine [PARLODEL],Sans co-prescription de Lévodopa,Médicament présentant un risque d'ischémie distale; de fibrose rétropéritonéale; de valvulopathie et rougeur des jambes; nécessitent un suivi clinique rapproché. Chez le sujet de plus de 65 ans; la L-DOPA est le traitement de 1ère intention avec le rapport bénéfice-risque le plus favorable. A réévaluer; la bromocriptine doit être arrêtée progressivement avant le switch avec la L-DOPA; sous risque de pseudo-syndrome malin des neuroleptique.,0,1,0,0,0,0,0,0,1,0
Sels de Calcium [CALCIFORTE; CACIT; CALCIDOSE; CALTRATE; OROCAL],Par défaut :,Le Calcium per os est mal absorbé chez le sujet âgé (effets indésirables plus fréquents). Privilégier les ampoules de vitamine D (type ZYMAD 80000UI si IMC supérieur à 30 ou 50000UI si IMC inférieure à 30 : 1 ampoule) tous les mois pour une meilleure observance. (ex : Tous les 1ers du mois),0,0,0,0,0,0,0,0,0,0
Sels de Calcium [CALCIFORTE; CACIT; CALCIDOSE; CALTRATE; OROCAL],Chez le patient hémodyalisé :,Supplémentation en Calcium chez le patient IRC hémodyalisé. A poursuivre à distance des autres médicaments pour éviter les chelations.,0,0,0,0,0,0,0,0,0,0
Candesartan [ATACAND],Antécédent d’HTA (seul ou en association fixe COKENZEN; HYTACAND),Prise en charge de l’HTA. Attention médicament hyperkaliémiant. Rappel objectif tensionnel : 140/90 mmHg voire 150/90 mmHg pour perfusion cérébrale. A reprendre.,0,0,0,0,0,0,1,0,0,0
